year,mileage,engine_size,horsepower,fuel_type,transmission,brand,condition,accident_count,num_owners,price
2019,124533,1.4,114,gasoline,automatic,Mercedes,good,1,2,35865.1
2005,28242,2.5,184,gasoline,manual,Kia,fair,2,1,6762.99
2001,177601,1.4,321,electric,automatic,BMW,good,0,1,16459.6
2020,118081,3.0,93,diesel,manual,Audi,excellent,1,3,43893.71
2014,87779,3.0,459,diesel,cvt,Audi,fair,0,2,41719.86
2014,48799,1.6,380,diesel,manual,Ford,good,1,1,20363.27
2011,65493,1.8,373,diesel,cvt,Honda,good,0,1,26409.91
2013,191772,2.0,248,diesel,automatic,Kia,poor,0,2,5158.54
2017,30468,1.4,292,hybrid,cvt,Hyundai,poor,2,1,7734.41
2018,116993,5.0,403,gasoline,automatic,Ford,excellent,0,1,38198.02
2011,52982,1.4,199,electric,automatic,Ford,fair,0,1,16214.57
2009,183714,1.8,200,gasoline,automatic,Kia,excellent,1,1,10779.91
2003,18047,2.5,166,hybrid,automatic,Ford,excellent,3,4,13420.72
2023,138710,4.0,217,gasoline,automatic,Mercedes,poor,1,5,26606.12
2002,184964,4.0,312,gasoline,automatic,Kia,excellent,1,1,9672.24
2010,105250,3.5,351,gasoline,manual,Honda,good,1,1,21829.18
2013,10188,3.0,221,gasoline,cvt,Toyota,good,0,3,27244.76
2002,71011,2.5,333,gasoline,manual,Honda,excellent,2,2,13923.53
2017,85215,5.0,309,diesel,automatic,Nissan,good,0,4,28786.14
2021,49651,1.4,477,gasoline,manual,Chevrolet,fair,2,3,18659.43
2005,165925,1.6,144,hybrid,automatic,BMW,good,0,4,10335.38
2001,41607,1.8,244,hybrid,automatic,Kia,good,2,2,6714.03
2008,141521,5.0,175,electric,automatic,Hyundai,excellent,1,1,21636.33
2019,107971,1.6,208,gasoline,manual,Toyota,good,0,2,22627.88
2010,15980,2.5,483,gasoline,cvt,Ford,excellent,2,3,28128.18
2008,43362,3.5,198,diesel,automatic,Toyota,poor,0,3,14066.35
2011,117923,3.5,358,diesel,manual,Audi,fair,0,1,34647.4
2001,46222,2.5,476,gasoline,automatic,BMW,good,1,2,35177.5
2022,170113,1.8,311,gasoline,automatic,Audi,fair,1,1,31945.78
2011,157860,1.6,255,gasoline,automatic,Toyota,excellent,1,1,19952.4
2022,69549,2.0,132,diesel,manual,Ford,excellent,2,3,20907.38
2020,142005,3.5,419,hybrid,automatic,Audi,poor,1,4,29655.47
2009,160589,2.5,216,gasoline,automatic,Toyota,good,0,2,14012.04
2016,139986,2.0,342,gasoline,cvt,Honda,excellent,1,2,22013.31
2010,53433,3.0,174,hybrid,manual,Ford,good,0,3,13892.82
2004,187301,1.4,189,gasoline,automatic,Honda,fair,1,1,500.0
2019,8657,3.5,331,hybrid,automatic,Chevrolet,good,2,2,29710.54
2017,10345,4.0,406,hybrid,automatic,Ford,good,0,1,39677.08
2021,55292,1.8,450,gasoline,automatic,Chevrolet,excellent,0,1,34825.4
2001,20231,1.4,246,gasoline,cvt,Mercedes,good,0,3,24252.16
2022,35574,2.5,153,gasoline,manual,Mercedes,good,2,5,50073.26
2011,118465,1.8,487,gasoline,automatic,Chevrolet,excellent,1,3,19200.46
2004,93968,2.0,378,gasoline,manual,Kia,good,1,5,9504.39
2013,137955,4.0,393,electric,automatic,Toyota,fair,0,2,26136.62
2006,45524,1.6,312,diesel,automatic,Honda,good,1,3,18890.05
2004,7514,1.6,381,gasoline,automatic,Mercedes,excellent,0,4,49306.09
2010,175996,3.5,396,hybrid,automatic,Mercedes,good,0,4,48342.28
2013,96311,1.8,488,diesel,manual,Kia,poor,0,3,8150.05
2000,117744,4.0,440,diesel,manual,BMW,good,3,1,27874.93
2023,102760,2.5,203,diesel,manual,Chevrolet,fair,0,3,15838.66
2017,8873,1.4,438,electric,automatic,Toyota,fair,4,3,25680.47
2006,168569,3.0,446,gasoline,manual,Mercedes,excellent,0,5,38328.61
